Project ID,Project Name,Project Start Date,Project Completion Date,Building ID,Number,Street,Borough,Postcode,BBL,BIN,Community Board,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Latitude,Longitude,Latitude (Internal),Longitude (Internal),Building Completion Date,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Unknown-BR Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
65554,BRIDGE ROCKAWAY,03/31/2022,,1003153,805,ROCKAWAY AVENUE,Brooklyn,11212,3036030010,,BK-16,42,916,BK81,40.66012,-73.908285,40.66005,-73.907972,,New Construction,No,Non Prevailing Wage,122,38,13,0,0,0,85,17,46,25,0,0,0,0,173,0,173,174
69099,VOA. 1746 ANDREWS AVENUE SOUTH,03/31/2022,,1002488,1746,ANDREWS AVENUE SOUTH,Bronx,10453,2028780183,,BX-05,14,21501,BX36,40.85037,-73.917222,40.85028,-73.916947,,New Construction,No,Prevailing Wage,117,0,0,0,0,1,93,24,1,0,0,0,0,0,118,0,118,118
69567,ASLAND CAPITAL. 1940 TURNBULL AVE. PL SARA,03/31/2022,,1003176,1940,TURNBULL AVENUE,Bronx,10473,2036720001,,BX-09,18,16,BX09,40.822911,-73.857365,40.82262,-73.856777,,New Construction,No,Prevailing Wage,153,0,0,0,0,1,122,31,1,0,0,0,0,0,154,0,154,154
72295,CONFIDENTIAL,03/31/2022,03/31/2022,,----,----,Bronx,,,,BX-08,11,,,,,,,03/31/2022,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
72179,CONFIDENTIAL,03/25/2022,03/25/2022,,----,----,Brooklyn,,,,BK-15,46,,,,,,,03/25/2022,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
72347,CONFIDENTIAL,03/25/2022,03/25/2022,,----,----,Brooklyn,,,,BK-12,40,,,,,,,03/25/2022,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
67442,505 WEST 134 STREET CLUSTER,03/22/2022,,40677,505,WEST 134 STREET,Manhattan,10031,1019880027,1059763,MN-09,7,22301,MN06,40.81842,-73.953141,40.81864,-73.953119,,Preservation,No,Non Prevailing Wage,0,11,0,8,0,0,0,0,14,5,0,0,0,0,0,19,19,19
67442,505 WEST 134 STREET CLUSTER,03/22/2022,,40693,523,WEST 134 STREET,Manhattan,10031,1019880012,1059754,MN-09,7,22301,MN06,40.818868,-73.954214,40.81914,-73.954308,,Preservation,No,Non Prevailing Wage,0,17,0,8,0,0,0,1,16,8,0,0,0,0,0,25,25,25
67442,505 WEST 134 STREET CLUSTER,03/22/2022,,40696,527,WEST 134 STREET,Manhattan,10031,1019880008,1059752,MN-09,7,22301,MN06,40.818895,-73.954272,40.81927,-73.954611,,Preservation,No,Non Prevailing Wage,0,17,0,8,0,0,0,1,16,8,0,0,0,0,0,25,25,25
72154,CONFIDENTIAL,03/21/2022,03/21/2022,,----,----,Brooklyn,,,,BK-14,40,,,,,,,03/21/2022,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
