Project ID,Project Name,Project Start Date,Project Completion Date,Building ID,Number,Street,Borough,Postcode,BBL,BIN,Community Board,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Latitude,Longitude,Latitude (Internal),Longitude (Internal),Building Completion Date,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Unknown-BR Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
73753,3327 WHITE PLAINS ROAD,01/03/2023,,123251,3327,WHITE PLAINS ROAD,Bronx,10467,2046240049,2000000,BX-12,12,374,BX1201,40.874054,-73.867083,40.874044,-73.867449,,New Construction,No,Non Prevailing Wage,,,,,7,,1,3,3,,,,,,7,,7,22
73751,11 LEWIS AVENUE,01/04/2023,07/14/2023,324753,11,LEWIS AVENUE,Brooklyn,11206,3015820002,3427315,BK-03,36,287,BK0302,40.697617,-73.937982,40.697666,-73.937683,07/14/2023,New Construction,No,Non Prevailing Wage,,,,,4,,4,,,,,,,,4,,4,13
73745,THE BROOKLYN TOWER,01/05/2023,,976489,9,DEKALB AVENUE,Brooklyn,11201,3001497503,3000370,BK-02,33,1502,BK0202,40.689985,-73.98254,40.690402,-73.982392,,New Construction,No,Non Prevailing Wage,,,,,120,,57,44,18,1,,,,,120,,120,398
74196,17-11 HANCOCK STREET,01/05/2023,11/02/2023,1007176,1711,HANCOCK STREET,Queens,11385,4035600045,4085882,QN-05,34,553,QN0502,40.699534,-73.904545,40.699803,-73.904577,11/02/2023,New Construction,No,Non Prevailing Wage,,,,,18,,,15,3,,,,,,18,,18,60
73743,870 METROPOLITAN AVENUE APARTMENTS,01/06/2023,,336677,870,METROPOLITAN AVENUE,Brooklyn,11211,3029160029,3338322,BK-01,34,481,BK0104,40.714638,-73.939936,40.71441,-73.939889,,New Construction,No,Non Prevailing Wage,,,,,7,,1,3,3,,,,,,7,,7,22
73744,113 E 184TH STREET,01/06/2023,12/27/2024,66573,113,EAST 184 STREET,Bronx,10468,2031730064,2013917,BX-05,14,23703,BX0503,40.859823,-73.900313,40.859944,-73.899944,12/27/2024,New Construction,No,Non Prevailing Wage,,,,,16,,8,8,,,,,,,16,,16,51
73741,69 AMBOY STREET,01/09/2023,07/27/2023,1008057,69,AMBOY STREET,Brooklyn,11212,3035180133,3429479,BK-16,41,902,BK1602,40.668507,-73.91434,40.668784,-73.914135,07/27/2023,New Construction,No,Non Prevailing Wage,,,,,8,,2,6,,,,,,,8,,8,9
73742,4829-4831 WHITE PLAINS ROAD,01/09/2023,06/22/2023,1006597,4829,WHITE PLAINS ROAD,Bronx,10470,2051100102,2130656,BX-12,11,414,BX1203,40.906595,-73.848829,40.906787,-73.849016,06/22/2023,New Construction,No,Non Prevailing Wage,,,,,3,,,3,,,,,,,3,,3,10
73742,4829-4831 WHITE PLAINS ROAD,01/09/2023,06/22/2023,1006649,4831,WHITE PLAINS ROAD,Bronx,10470,2051100001,2071813,BX-12,11,414,BX1203,40.90663,-73.8488,40.906877,-73.848933,06/22/2023,New Construction,No,Non Prevailing Wage,,,,,3,,,3,,,,,,,3,,3,10
73739,2140 MATTHEWS AVENUE,01/10/2023,,94891,2140,MATTHEWS AVENUE,Bronx,10462,2043230014,2049446,BX-11,13,228,BX1101,40.855152,-73.862899,40.855102,-73.862624,,New Construction,No,Non Prevailing Wage,,,,,14,,,14,,,,,,,14,,14,16
73740,1677 TOWNSEND AVENUE,01/10/2023,06/22/2023,1007186,1677,TOWNSEND AVENUE,Bronx,10453,2028480024,2008159,BX-05,14,22701,BX0502,40.845986,-73.912438,40.845937,-73.912778,06/22/2023,New Construction,No,Non Prevailing Wage,,,,,34,,13,1,14,6,,,,,34,,34,35
74194,3573 LACONIA AVENUE APARTMENTS,01/12/2023,09/06/2023,1009236,3573,LACONIA AVENUE,Bronx,10469,2046950070,2059316,BX-12,12,368,BX1201,40.875733,-73.854706,40.875925,-73.854973,09/06/2023,New Construction,No,Non Prevailing Wage,,,,,6,,1,2,3,,,,,,6,,6,20
73737,1777 WEEKS AVENUE,01/13/2023,,120826,1777,WEEKS AVENUE,Bronx,10457,2027960037,2129689,BX-05,14,22901,BX0502,40.846207,-73.90745,40.84626,-73.907714,,New Construction,No,Non Prevailing Wage,,,,,14,,6,8,,,,,,,14,,14,45
73734,596 METROPOLITAN AVENUE APARTMENTS,01/16/2023,06/30/2023,1007834,596,METROPOLITAN AVENUE,Brooklyn,11211,3027620005,3322912,BK-01,34,503,BK0104,40.714093,-73.94898,40.713846,-73.949001,06/30/2023,New Construction,No,Non Prevailing Wage,,,,,4,,,4,,,,,,,4,,4,12
73735,31-22 60 STREET,01/16/2023,,450784,31-24,60 STREET,Queens,11377,4011350148,4025304,QN-01,25,297,QN0104,40.756972,-73.902709,40.756679,-73.902918,,New Construction,No,Non Prevailing Wage,,,,,2,,,2,,,,,,,2,,2,6
73736,2441 CROTONA AVENUE APARTMENTS,01/16/2023,03/04/2024,1008796,2441,CROTONA AVENUE,Bronx,10458,2031050041,2130595,BX-06,15,389,BX0603,40.855034,-73.883074,40.855463,-73.883275,03/04/2024,New Construction,No,Non Prevailing Wage,,,,,17,,3,12,1,1,,,,,17,,17,50
73738,2427 CROTONA AVENUE,01/16/2023,07/17/2023,59958,2427,CROTONA AVENUE,Bronx,10458,2031050047,2012919,BX-06,15,389,BX0603,40.854757,-73.883215,40.854925,-73.883414,07/17/2023,New Construction,No,Non Prevailing Wage,,,,,6,,,6,,,,,,,6,,6,17
74193,438 UNION AVENUE,01/16/2023,08/22/2023,1007606,438,UNION AVENUE,Brooklyn,11211,3027610005,3068769,BK-01,34,513,BK0102,40.713455,-73.951519,40.713529,-73.951202,08/22/2023,New Construction,No,Non Prevailing Wage,,,,,4,,,4,,,,,,,4,,4,13
