STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
36,001,000100,2139,+42.673428,-073.740151
36,001,000200,6046,+42.660679,-073.753834
36,001,000300,5888,+42.675832,-073.776315
36,001,000401,2227,+42.705495,-073.867309
36,001,000403,4415,+42.673860,-073.797756
36,001,000404,5203,+42.686769,-073.825271
36,001,000501,3412,+42.670160,-073.782217
36,001,000502,3448,+42.666390,-073.786107
36,001,000600,3676,+42.663922,-073.773815
36,001,000700,3821,+42.665860,-073.763801
36,001,000800,2393,+42.660467,-073.764808
36,001,001100,1169,+42.650876,-073.754660
36,001,001400,3560,+42.655402,-073.765406
36,001,001500,4606,+42.658343,-073.780729
36,001,001600,4273,+42.659276,-073.788487
36,001,001700,4021,+42.661066,-073.797855
36,001,001801,6579,+42.656450,-073.815502
36,001,001802,3816,+42.670617,-073.819952
36,001,001901,2607,+42.651227,-073.792614
36,001,001902,2581,+42.645324,-073.795800
36,001,002000,5771,+42.639991,-073.782141
36,001,002100,3773,+42.651481,-073.775540
36,001,002200,2344,+42.650569,-073.765506
36,001,002300,2051,+42.644196,-073.760732
36,001,002500,2872,+42.641500,-073.756954
36,001,002600,5165,+42.638352,-073.769691
36,001,012700,2342,+42.771520,-073.688435
36,001,012800,3836,+42.766610,-073.701187
36,001,012900,3445,+42.780638,-073.708319
36,001,013000,6545,+42.776436,-073.718231
36,001,013100,2620,+42.743230,-073.692968
36,001,013200,3397,+42.728924,-073.702738
36,001,013300,4427,+42.731515,-073.709945
36,001,013400,2430,+42.712014,-073.708987
36,001,013503,4277,+42.766536,-073.733345
36,001,013505,2712,+42.739681,-073.750587
36,001,013506,6361,+42.748161,-073.735759
36,001,013507,2594,+42.745939,-073.774330
36,001,013508,6547,+42.773817,-073.771938
36,001,013601,9372,+42.720112,-073.739105
36,001,013602,4409,+42.690061,-073.732360
36,001,013703,2500,+42.743558,-073.821723
36,001,013705,6628,+42.702376,-073.784754
36,001,013706,2124,+42.698906,-073.761341
36,001,013707,6061,+42.723515,-073.775193
36,001,013801,7278,+42.749378,-073.870121
36,001,013802,4390,+42.760174,-073.846670
36,001,013901,2460,+42.715681,-073.838557
