"name","Address","City","Postcode","phone","Mn","Tu","We","Th","Fr","Sa","Su","notification","Location 1","Borough","Latitude","Longitude","Community Board","Council District ","Census Tract","BIN","BBL","NTA"
"Rosedale","144-20 243 Street","Rosedale","11422","(718) 528-8490","12:00 PM - 8:00 PM","1:00 PM - 6:00 PM","10:00 AM - 6:00 PM","12:00 PM - 8:00 PM","10:00 AM - 6:00 PM","10:00 AM - 5:00 PM","Closed - Closed",,"(40.660152, -73.739488)","QUEENS   ","40.660152","-73.739488","13","31","654","4135490007","4135490007","Rosedale                                                                   "
"Bayside","214-20 Northern Boulevard","Bayside","11361","(718) 229-1834","9:00 AM - 8:00 PM","1:00 PM - 6:00 PM","10:00 AM - 6:00 PM","12:00 PM - 8:00 PM","10:00 AM - 6:00 PM","10:00 AM - 5:00 PM","Closed - Closed",,"(40.760363, -73.768588)","QUEENS   ","40.760363","-73.768588","11","19","1,471","4073330215","4073330215","Bayside-Bayside Hills                                                      "
"Central Library- The Archives","89-11 Merrick Boulevard","Jamaica","11432","(718) 990-0700","9:00 AM - 9:00 PM","9:00 AM - 7:00 PM","9:00 AM - 7:00 PM","9:00 AM - 7:00 PM","9:00 AM - 7:00 PM","10:00 AM - 5:00 PM","12:00 PM - 5:00 PM",,"(40.707865, -73.795295)","QUEENS   ","40.707865","-73.795295","12","27","460","4097980006","4097980006","Jamaica                                                                    "
"Hollis","202-05 Hillside Avenue","Hollis","11423","(718) 465-7355","12:00 PM - 8:00 PM","1:00 PM - 6:00 PM","10:00 AM - 6:00 PM","12:00 PM - 8:00 PM","10:00 AM - 6:00 PM","10:00 AM - 5:00 PM","Closed - Closed",,"(40.719914, -73.762191)","QUEENS   ","40.719914","-73.762191","8","23","478","4105320120","4105320120","Jamaica Estates-Holliswood                                                 "
"Queens Library for Teens","2002 Cornaga Ave","Far Rockaway","11691","(718) 471-2573","2:30 PM - 6:00 PM","2:30 PM - 6:00 PM","2:30 PM - 6:00 PM","2:30 PM - 6:00 PM","2:30 PM - 6:00 PM","Closed - Closed","Closed - Closed",,,,,,,,,,,
"Douglaston/Little Neck","249-01 Northern Boulevard","Little Neck","11363","(718) 225-8414","12:00 PM - 8:00 PM","1:00 PM - 6:00 PM","10:00 AM - 6:00 PM","12:00 PM - 8:00 PM","10:00 AM - 6:00 PM","10:00 AM - 5:00 PM","Closed - Closed",,"(40.76795, -73.738088)","QUEENS   ","40.76795","-73.738088","11","19","1,479","4081260087","4081260087","Douglas Manor-Douglaston-Little Neck                                       "
"Queensboro Hill","60-05 Main Street","Flushing","11355","(718) 359-8332","12:00 PM - 8:00 PM","1:00 PM - 6:00 PM","10:00 AM - 6:00 PM","12:00 PM - 8:00 PM","10:00 AM - 6:00 PM","10:00 AM - 5:00 PM","Closed - Closed",,"(40.743081, -73.825526)","QUEENS   ","40.743081","-73.825526","7","20","80,301","4064050050","4064050050","Queensboro Hill                                                            "
"Howard Beach","92-06 156 Avenue"," Howard Beach","11414","(718) 641-7086","12:00 PM - 8:00 PM","1:00 PM - 6:00 PM","10:00 AM - 6:00 PM","12:00 PM - 8:00 PM","10:00 AM - 6:00 PM","10:00 AM - 5:00 PM","Closed - Closed",,"(40.664069, -73.841928)","QUEENS   ","40.664069","-73.841928","10","32","892","4139570001","4139570001","Lindenwood-Howard Beach                                                    "
"South Jamaica","108-41 Guy R. Brewer Boulevard","Jamaica","11433","(718) 739-4088","10:00 AM - 5:00 PM","Closed - Closed","Closed - Closed","Closed - Closed","Closed - Closed","Closed - Closed","Closed - Closed",,"(40.695879, -73.790734)","QUEENS   ","40.695879","-73.790734","12","27","258","4101710008","4101710008","South Jamaica                                                              "
"Long Island City","37-44 21 Street","Long Island City","11101","(718) 752-3700","9:00 AM - 8:00 PM","1:00 PM - 6:00 PM","10:00 AM - 6:00 PM","12:00 PM - 8:00 PM","10:00 AM - 6:00 PM","10:00 AM - 5:00 PM","Closed - Closed",,"(40.757826, -73.938771)","QUEENS   ","40.757826","-73.938771","1","26","43","4003630001","4003630001","Queensbridge-Ravenswood-Long Island City                                   "
