Program Type,Program,Name,Borough/Community,Agency,Contact Number,Grade Level / Age Group,Location 1,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
"After-School Programs,Summer Program,Summer Camp",Out of School Time,I.S. 7 ELIAS BERNSTEIN SCHOOL,Staten Island,"United Activities Unlimited, Inc.",(718) 987-8111,OST,"1270 Huguenot Avenue10312
(40.524037229806, -74.186161591717)",10312,40.523757,-74.185941,3,51,198,5082345,5065440001,Annadale-Huguenot-Prince's Bay-Eltingville                                 
After-School Programs,Out of School Time,I.S. 7 ELIAS BERNSTEIN SCHOOL,Staten Island,"United Activities Unlimited, Inc.",(718) 987-8111,Middle School,"1270 Huguenot Avenue10312
(40.524037229806, -74.186161591717)",10312,40.523757,-74.185941,3,51,198,5082345,5065440001,Annadale-Huguenot-Prince's Bay-Eltingville                                 
After-School Programs,Out of School Time,Tottenville HS,Staten Island,"Jewish Community Center of Staten Island, Inc.",(718) 605-3033,High School,"100 Luten Avenue10312
(40.528261987233, -74.192176976724)",10312,40.528092,-74.192032,3,51,198,5082634,5066130001,Annadale-Huguenot-Prince's Bay-Eltingville                                 
After-School Programs,Beacon,Tottenville HS,Staten Island,Jewish Community Center of Staten Island,718.605.3033,6 and up,"100 Luten Avenue10312
(40.528261987233, -74.192176976724)",10312,40.528092,-74.192032,3,51,198,5082634,5066130001,Annadale-Huguenot-Prince's Bay-Eltingville                                 
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 55 HENRY BOEHM SCHOOL,Staten Island,"United Activities Unlimited, Inc.",(718) 704-8500,OST,"54 Osborne Street10312
(40.536867814642, -74.163326599536)",10312,40.536639,-74.163815,3,51,15602,5069075,5053360001,Annadale-Huguenot-Prince's Bay-Eltingville                                 
After-School Programs,Out of School Time,P.S. 55 HENRY BOEHM SCHOOL,Staten Island,"United Activities Unlimited, Inc.",(718) 704-8500,Elementary,"54 Osborne Street10312
(40.536867814642, -74.163326599536)",10312,40.536639,-74.163815,3,51,15602,5069075,5053360001,Annadale-Huguenot-Prince's Bay-Eltingville                                 
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 56 LOUIS DE SARIO SCHOOL,Staten Island,"United Activities Unlimited, Inc.",(718) 987-8111,OST,"250 KRAMER AVENUE10309
(40.542237935472, -74.213927431151)",10309,40.542246,-74.214002,3,51,20801,5128148,5070440001,Rossville-Woodrow                                                          
After-School Programs,Out of School Time,P.S. 56 LOUIS DE SARIO SCHOOL,Staten Island,"United Activities Unlimited, Inc.",(718) 987-8111,Elementary,"250 KRAMER AVENUE10309
(40.542237935472, -74.213927431151)",10309,40.542246,-74.214002,3,51,20801,5128148,5070440001,Rossville-Woodrow                                                          
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,The Jewish Community Center of Staten Island,Staten Island,The Jewish Community Center of Staten Island,(718) 508-3881,16+,"1297 Arthur Kill Road10312
(40.565263465624, -74.184003351052)",10312,40.565262,-74.183882,3,51,228,5077603,5059000105,New Springville-Bloomfield-Travis                                          
"NDA Programs,Senior Programs,Older Adult Program",Seniors,"Haber, Bernard Senior Houses",Brooklyn,"South Brooklyn Legal Services, Inc.",(800) 624-8474,Seniors,"2410 Surf Avenue11224
(40.573583396163, -73.990819353324)",11224,40.573651,-73.990904,13,47,352,3322050,3070700001,Seagate-Coney Island                                                       
