date_of_interest,case_count,Bronx,Brooklyn,Manhattan,Queens,Staten Island
2/29/20,1,0,0,1,0,0
3/1/20,0,0,0,0,0,0
3/2/20,0,0,0,0,0,0
3/3/20,1,0,0,0,1,0
3/4/20,5,0,1,2,2,0
3/5/20,3,0,3,0,0,0
3/6/20,8,2,1,3,1,1
3/7/20,7,0,2,1,3,1
3/8/20,21,3,5,6,6,1
3/9/20,57,4,16,24,10,3
3/10/20,69,8,11,24,24,2
3/11/20,155,19,31,62,40,3
3/12/20,355,29,96,137,80,13
3/13/20,619,79,166,182,166,26
3/14/20,642,86,163,176,194,23
3/15/20,1034,119,432,205,231,47
3/16/20,2121,305,740,457,528,91
3/17/20,2452,343,783,567,651,108
3/18/20,2971,482,965,538,835,150
3/19/20,3706,623,1204,555,1065,258
3/20/20,4007,723,1136,653,1185,310
3/21/20,2639,491,554,399,947,248
3/22/20,2580,495,755,317,696,317
3/23/20,3570,730,909,530,1192,209
3/24/20,4497,927,1212,619,1389,350
3/25/20,4874,1068,1255,586,1571,394
3/26/20,5044,998,1372,626,1644,404
3/27/20,5119,1090,1426,656,1576,371
3/28/20,3479,761,863,388,1201,266
3/29/20,3560,699,1149,407,1075,230
3/30/20,6129,1315,1754,802,1859,398
3/31/20,5458,1282,1512,616,1811,237
4/1/20,5449,1240,1590,573,1782,264
4/2/20,5746,1289,1610,652,1826,369
4/3/20,5670,1452,1440,671,1762,345
4/4/20,3866,1012,920,385,1203,345
4/5/20,3781,822,1144,356,1135,323
4/6/20,6353,1514,1461,721,1927,730
4/7/20,6044,1463,1397,605,1949,630
4/8/20,5575,1305,1305,546,1857,562
4/9/20,5070,1285,1369,558,1560,298
4/10/20,4510,1227,1145,495,1342,301
4/11/20,3732,998,1131,304,987,311
4/12/20,2887,763,703,252,916,253
4/13/20,3311,693,1066,393,974,185
4/14/20,4144,1076,1038,440,1300,290
4/15/20,3876,1068,882,429,1180,317
4/16/20,3530,940,885,355,1139,211
4/17/20,3586,916,962,330,1099,279
4/18/20,2172,552,575,187,705,153
4/19/20,2343,532,635,176,866,134
4/20/20,3792,981,983,381,1223,224
4/21/20,3062,641,896,372,937,216
4/22/20,3446,927,854,382,1109,173
4/23/20,2841,735,786,400,793,127
4/24/20,2535,579,630,408,775,143
4/25/20,1595,418,404,145,540,88
4/26/20,1003,196,332,98,331,46
4/27/20,2290,551,607,302,723,107
4/28/20,2726,668,709,323,896,130
4/29/20,2340,557,683,285,691,124
4/30/20,2022,482,600,217,593,130
5/1/20,1887,450,497,240,622,78
5/2/20,1058,263,263,138,333,61
5/3/20,787,153,245,103,251,35
5/4/20,1550,349,461,214,437,89
5/5/20,1512,294,432,242,462,82
5/6/20,1397,279,450,165,443,60
5/7/20,1238,298,403,119,358,60
5/8/20,1079,250,344,99,344,42
5/9/20,657,175,119,75,256,32
5/10/20,457,75,188,95,85,14
5/11/20,1231,226,410,192,376,27
5/12/20,1285,355,400,163,314,53
5/13/20,1333,461,362,156,307,47
5/14/20,1110,255,332,149,332,42
5/15/20,873,181,259,135,265,33
5/16/20,485,108,165,51,136,25
5/17/20,360,56,138,50,106,10
5/18/20,895,187,266,129,275,38
5/19/20,1003,182,327,165,287,42
5/20/20,1077,278,323,164,256,56
5/21/20,1069,199,336,145,311,78
5/22/20,1036,264,350,153,237,32
5/23/20,455,90,143,47,138,37
5/24/20,467,101,161,69,121,15
5/25/20,464,103,160,69,116,16
5/26/20,1050,283,313,127,269,58
5/27/20,741,184,242,107,165,43
5/28/20,646,119,219,97,181,30
5/29/20,639,164,161,74,213,27
5/30/20,346,82,101,38,110,15
5/31/20,230,30,84,25,79,12
6/1/20,686,158,250,77,158,43
6/2/20,570,123,178,72,163,34
6/3/20,515,116,131,75,148,45
6/4/20,517,127,127,86,148,29
6/5/20,402,108,131,52,103,8
6/6/20,247,50,58,33,99,7
6/7/20,197,43,52,24,74,4
6/8/20,447,96,111,75,146,19
6/9/20,419,84,119,66,131,19
6/10/20,363,75,99,67,108,14
6/11/20,363,66,113,54,114,16
6/12/20,409,80,122,58,131,18
6/13/20,196,47,50,23,74,2
6/14/20,180,27,53,28,68,4
6/15/20,380,81,103,55,123,18
6/16/20,419,80,132,67,120,20
6/17/20,356,68,115,65,92,16
6/18/20,378,60,112,58,123,25
6/19/20,361,82,91,56,123,9
6/20/20,203,53,46,44,54,6
6/21/20,172,25,55,25,58,9
6/22/20,402,92,110,63,119,18
6/23/20,381,73,95,76,121,16
6/24/20,381,90,101,73,103,14
6/25/20,298,65,81,46,78,28
6/26/20,317,66,95,63,77,16
6/27/20,206,26,70,37,60,13
6/28/20,201,35,57,41,57,11
6/29/20,437,75,127,80,132,23
6/30/20,441,77,127,94,114,29
7/1/20,395,59,121,83,93,39
7/2/20,416,76,127,79,117,17
7/3/20,234,41,72,48,65,8
7/4/20,120,21,23,32,32,12
7/5/20,155,20,53,32,38,12
7/6/20,431,68,142,76,117,28
7/7/20,461,112,123,88,106,32
7/8/20,437,83,121,120,88,25
7/9/20,391,91,104,84,94,18
7/10/20,306,65,90,47,91,13
7/11/20,259,40,73,47,86,13
7/12/20,223,44,55,42,69,13
7/13/20,483,108,123,79,138,35
7/14/20,402,70,111,81,121,19
7/15/20,440,107,150,70,91,22
7/16/20,411,94,90,83,109,35
7/17/20,413,75,106,104,106,22
