Date,Store,Amount,Category
10/07/22,MacDonald,24.65,food
10/07/22,MTA,16.85,transportation
10/07/22,Bestbuy,46.39,electronics
10/22/22,Walgreen,15.41,medicine
11/10/22,AT&T,30.87,Internet
11/10/22,Target,30.08,groceries
11/10/22,Target Pharmacy,39.46,medicine
11/21/22,Walmart,15.66,groceries
11/21/22,Bestbuy,68.18,electronics
12/05/22,Bestbuy,42.82,electronics
12/17/22,Walmart,32.55,groceries
12/23/22,Bestbuy,7.31,electronics
12/23/22,Walgreen,8.09,medicine
12/30/22,MTA,44.3,transportation
12/30/22,Bestbuy,30.97,electronics
