Date,Time,Lat,Lon,Wind,Pressure
Aug 30,15:00 GMT,16.4,-30.3,50,1004
Aug 30,21:00 GMT,16.4,-31.2,60,1001
Aug 31,03:00 GMT,16.4,-32.2,65,999
Aug 31,09:00 GMT,16.5,-32.9,70,997
Aug 31,15:00 GMT,16.9,-33.8,100,979
Aug 31,21:00 GMT,17.3,-34.8,115,967
Sep 1,03:00 GMT,17.8,-35.6,115,967
Sep 1,09:00 GMT,18.2,-36.5,115,967
Sep 1,15:00 GMT,18.5,-37.8,110,972
Sep 1,21:00 GMT,18.8,-39.1,120,964
Sep 2,03:00 GMT,19.1,-40.5,115,967
Sep 2,09:00 GMT,19.0,-41.8,110,970
Sep 2,15:00 GMT,18.8,-43.3,110,973
Sep 2,21:00 GMT,18.5,-44.6,110,973
Sep 3,03:00 GMT,18.3,-46.2,110,973
Sep 3,09:00 GMT,18.0,-47.5,115,969
Sep 3,15:00 GMT,17.7,-48.4,115,969
Sep 3,21:00 GMT,17.6,-49.8,115,969
Sep 4,00:00 GMT,17.4,-50.3,115,959
Sep 4,03:00 GMT,17.2,-51.0,115,961
Sep 4,06:00 GMT,17.0,-51.5,115,961
Sep 4,09:00 GMT,16.9,-52.3,115,961
Sep 4,12:00 GMT,16.8,-52.6,120,947
Sep 4,15:00 GMT,16.8,-53.3,120,944
Sep 4,18:00 GMT,16.7,-53.8,120,944
Sep 4,21:00 GMT,16.7,-54.4,130,944
Sep 5,00:00 GMT,16.7,-55.0,140,943
Sep 5,03:00 GMT,16.7,-55.6,140,943
Sep 5,06:00 GMT,16.6,-56.4,145,939
Sep 5,09:00 GMT,16.6,-57.0,150,937
Sep 5,11:45 GMT,16.7,-57.7,175,929
Sep 5,12:00 GMT,16.7,-57.7,175,929
Sep 5,15:00 GMT,16.8,-58.4,180,931
Sep 5,18:00 GMT,16.9,-59.1,185,926
Sep 5,21:00 GMT,17.1,-59.8,185,926
Sep 6,00:00 GMT,17.2,-60.5,185,916
Sep 6,00:15 GMT,17.2,-60.5,185,916
Sep 6,03:00 GMT,17.4,-61.1,185,916
Sep 6,06:00 GMT,17.7,-61.8,185,914
Sep 6,09:00 GMT,17.9,-62.6,185,914
Sep 6,12:00 GMT,18.1,-63.3,185,918
Sep 6,15:00 GMT,18.2,-64.0,185,918
Sep 6,16:00 GMT,18.3,-64.2,185,922
Sep 6,17:00 GMT,18.4,-64.5,185,920
Sep 6,18:00 GMT,18.5,-64.7,185,920
Sep 6,19:00 GMT,18.6,-64.9,185,920
Sep 6,20:00 GMT,18.7,-65.1,185,920
Sep 6,21:00 GMT,18.8,-65.4,185,914
Sep 6,22:00 GMT,18.9,-65.6,185,914
Sep 6,23:00 GMT,19.0,-65.8,185,914
Sep 7,00:00 GMT,19.1,-66.1,185,914
Sep 7,01:00 GMT,19.2,-66.3,185,916
Sep 7,02:00 GMT,19.3,-66.6,185,916
Sep 7,03:00 GMT,19.4,-66.8,185,916
Sep 7,04:00 GMT,19.5,-67.1,185,918
Sep 7,05:00 GMT,19.6,-67.4,185,918
Sep 7,06:00 GMT,19.7,-67.7,180,921
Sep 7,07:00 GMT,19.7,-67.9,180,921
Sep 7,08:00 GMT,19.8,-68.1,180,921
Sep 7,09:00 GMT,20.0,-68.3,180,921
Sep 7,12:00 GMT,20.1,-69.0,180,921
Sep 7,15:00 GMT,20.4,-69.7,175,921
Sep 7,18:00 GMT,20.7,-70.4,175,922
Sep 7,21:00 GMT,20.9,-71.1,175,922
Sep 8,00:00 GMT,21.1,-71.8,175,919
Sep 8,03:00 GMT,21.3,-72.4,165,920
Sep 8,06:00 GMT,21.5,-73.3,160,925
Sep 8,09:00 GMT,21.7,-73.8,155,925
Sep 8,12:00 GMT,21.8,-74.7,150,927
Sep 8,15:00 GMT,22.0,-75.3,150,927
Sep 8,18:00 GMT,22.0,-76.0,155,925
Sep 8,21:00 GMT,22.1,-76.5,155,925
Sep 9,00:00 GMT,22.2,-77.2,155,924
Sep 9,03:00 GMT,22.1,-77.7,160,924
Sep 9,06:00 GMT,22.3,-78.2,160,930
Sep 9,09:00 GMT,22.5,-78.8,155,930
Sep 9,12:00 GMT,22.6,-79.6,130,937
Sep 9,15:00 GMT,22.8,-79.8,125,941
Sep 9,16:00 GMT,22.9,-79.9,125,941
Sep 9,17:00 GMT,23.0,-80.0,125,941
Sep 9,18:00 GMT,23.1,-80.2,125,941
Sep 9,19:00 GMT,23.1,-80.3,125,938
Sep 9,20:00 GMT,23.3,-80.4,125,938
Sep 9,21:00 GMT,23.4,-80.5,125,933
Sep 9,22:00 GMT,23.4,-80.7,125,933
Sep 9,23:00 GMT,23.4,-80.8,125,932
Sep 10,00:00 GMT,23.3,-80.8,120,932
Sep 10,01:00 GMT,23.4,-80.9,125,932
Sep 10,02:00 GMT,23.5,-81.0,120,933
Sep 10,03:00 GMT,23.5,-81.0,120,933
Sep 10,04:00 GMT,23.6,-81.1,120,932
Sep 10,05:00 GMT,23.7,-81.2,120,931
Sep 10,06:00 GMT,23.7,-81.3,130,931
Sep 10,07:00 GMT,23.9,-81.3,130,930
Sep 10,08:00 GMT,23.9,-81.4,130,928
Sep 10,09:00 GMT,24.1,-81.5,130,928
Sep 10,10:00 GMT,24.2,-81.4,130,929
Sep 10,11:00 GMT,24.4,-81.5,130,929
Sep 10,12:00 GMT,24.5,-81.5,130,929
Sep 10,13:00 GMT,24.6,-81.5,130,929
Sep 10,13:10 GMT,24.7,-81.5,130,929
Sep 10,14:00 GMT,24.8,-81.5,130,929
Sep 10,15:00 GMT,25.0,-81.5,130,933
Sep 10,15:10 GMT,25.0,-81.5,130,933
Sep 10,16:00 GMT,25.2,-81.6,130,933
Sep 10,17:00 GMT,25.4,-81.7,130,933
Sep 10,18:00 GMT,25.6,-81.8,120,936
Sep 10,19:00 GMT,25.7,-81.8,120,936
Sep 10,19:35 GMT,25.9,-81.7,115,940
Sep 10,20:00 GMT,26.0,-81.7,115,940
Sep 10,21:00 GMT,26.2,-81.8,110,938
Sep 10,22:00 GMT,26.3,-81.7,110,938
Sep 10,23:00 GMT,26.6,-81.7,110,940
Sep 11,00:00 GMT,26.7,-81.7,105,942
Sep 11,01:00 GMT,27.1,-81.8,105,942
Sep 11,02:00 GMT,27.3,-81.9,105,948
Sep 11,03:00 GMT,27.5,-81.9,100,952
Sep 11,04:00 GMT,27.7,-81.9,100,952
Sep 11,05:00 GMT,27.9,-82.1,100,952
Sep 11,06:00 GMT,28.2,-82.2,85,960
Sep 11,09:00 GMT,28.9,-82.6,75,965
Sep 11,12:00 GMT,29.5,-82.9,70,970
Sep 11,15:00 GMT,30.3,-83.1,65,975
Sep 11,18:00 GMT,30.8,-83.6,60,980
Sep 11,21:00 GMT,31.5,-84.0,50,985
Sep 12,00:00 GMT,31.9,-84.4,45,986
Sep 12,03:00 GMT,32.4,-84.9,35,988
Sep 12,09:00 GMT,33.0,-85.2,25,998
Sep 12,15:00 GMT,34.2,-87.0,10,1003
Sep 12,21:00 GMT,35.1,-88.2,10,1004
