Date,Time,Lat,Lon,Wind,Pressure
Sep 5,15:00 GMT,12.3,-39.1,40,1008
Sep 5,21:00 GMT,12.5,-40.6,45,1006
Sep 6,03:00 GMT,12.3,-41.7,50,1004
Sep 6,09:00 GMT,12.5,-42.8,60,1002
Sep 6,15:00 GMT,13.1,-44.5,70,998
Sep 6,21:00 GMT,13.9,-45.8,75,994
Sep 7,03:00 GMT,14.4,-47.5,85,989
Sep 7,09:00 GMT,14.8,-49.1,90,986
Sep 7,15:00 GMT,14.9,-50.6,90,986
Sep 7,18:00 GMT,15.2,-51.4,105,978
Sep 7,21:00 GMT,15.5,-52.4,120,966
Sep 8,00:00 GMT,15.6,-53.2,120,966
Sep 8,00:10 GMT,15.6,-53.2,120,966
Sep 8,03:00 GMT,15.6,-53.9,120,966
Sep 8,06:00 GMT,15.8,-54.4,120,966
Sep 8,09:00 GMT,16.0,-55.3,125,957
Sep 8,12:00 GMT,16.1,-56.2,125,957
Sep 8,14:00 GMT,16.2,-56.9,150,942
Sep 8,15:00 GMT,16.3,-57.1,150,942
Sep 8,18:00 GMT,16.4,-57.7,150,940
Sep 8,21:00 GMT,16.6,-58.3,150,940
Sep 9,00:00 GMT,16.7,-58.8,150,938
Sep 9,03:00 GMT,16.9,-59.3,155,938
Sep 9,06:00 GMT,17.2,-59.6,150,940
Sep 9,09:00 GMT,17.5,-60.3,150,940
Sep 9,12:00 GMT,17.8,-60.7,145,944
Sep 9,15:00 GMT,18.3,-61.3,145,945
Sep 9,18:00 GMT,18.8,-61.9,145,945
Sep 9,21:00 GMT,19.2,-62.4,145,945
Sep 10,00:00 GMT,19.4,-62.9,145,945
Sep 10,03:00 GMT,19.8,-63.4,130,944
Sep 10,06:00 GMT,20.4,-64.0,130,944
Sep 10,09:00 GMT,20.8,-64.5,130,944
Sep 10,12:00 GMT,21.2,-65.3,130,944
Sep 10,15:00 GMT,21.7,-65.8,130,944
Sep 10,21:00 GMT,22.8,-66.9,120,956
Sep 11,03:00 GMT,23.7,-68.1,115,962
Sep 11,09:00 GMT,24.4,-68.6,105,968
Sep 11,15:00 GMT,25.5,-69.1,105,968
Sep 11,21:00 GMT,26.4,-69.2,100,973
Sep 12,03:00 GMT,27.1,-69.5,85,982
Sep 12,09:00 GMT,27.5,-69.0,75,987
Sep 12,15:00 GMT,27.5,-68.3,75,987
Sep 12,21:00 GMT,27.6,-67.4,75,987
Sep 13,03:00 GMT,26.5,-66.4,75,985
Sep 13,09:00 GMT,26.1,-66.0,75,985
Sep 13,15:00 GMT,25.5,-65.6,75,985
Sep 13,21:00 GMT,25.3,-65.6,75,988
Sep 14,03:00 GMT,25.2,-66.0,80,985
Sep 14,09:00 GMT,25.1,-66.5,75,986
Sep 14,15:00 GMT,24.9,-66.6,70,989
Sep 14,21:00 GMT,25.2,-67.3,70,989
Sep 15,03:00 GMT,25.5,-68.0,70,989
Sep 15,09:00 GMT,25.9,-68.7,70,989
Sep 15,15:00 GMT,26.5,-69.4,70,989
Sep 15,21:00 GMT,27.1,-70.3,75,983
Sep 16,03:00 GMT,27.4,-71.0,80,983
Sep 16,09:00 GMT,27.9,-71.8,80,983
Sep 16,15:00 GMT,28.8,-72.2,80,982
Sep 16,21:00 GMT,28.9,-71.9,80,973
Sep 17,03:00 GMT,29.2,-71.8,80,973
Sep 17,09:00 GMT,30.0,-71.7,80,973
Sep 17,15:00 GMT,31.0,-71.9,90,967
Sep 17,21:00 GMT,31.5,-71.8,90,967
Sep 18,00:00 GMT,31.9,-71.7,90,972
Sep 18,03:00 GMT,32.2,-71.6,90,972
Sep 18,06:00 GMT,32.6,-71.6,90,972
Sep 18,09:00 GMT,33.0,-71.4,85,974
Sep 18,12:00 GMT,33.5,-71.2,85,976
Sep 18,15:00 GMT,33.9,-71.1,75,977
Sep 18,18:00 GMT,34.2,-71.0,75,977
Sep 18,21:00 GMT,34.8,-71.1,75,977
Sep 19,00:00 GMT,34.8,-71.5,75,973
Sep 19,03:00 GMT,35.2,-71.3,75,975
Sep 19,06:00 GMT,35.6,-71.3,75,971
Sep 19,09:00 GMT,36.0,-71.3,75,971
Sep 19,12:00 GMT,36.3,-71.6,75,973
Sep 19,15:00 GMT,36.5,-71.7,75,976
Sep 19,18:00 GMT,36.9,-71.5,75,976
Sep 19,21:00 GMT,37.2,-71.3,75,976
Sep 20,00:00 GMT,37.5,-71.2,75,973
Sep 20,03:00 GMT,37.9,-70.8,70,973
Sep 20,06:00 GMT,38.2,-70.5,70,973
Sep 20,09:00 GMT,38.4,-70.3,65,975
Sep 20,12:00 GMT,38.8,-70.2,65,976
Sep 20,15:00 GMT,39.0,-70.0,70,976
Sep 20,18:00 GMT,39.2,-69.3,70,976
Sep 20,21:00 GMT,39.2,-69.1,70,976
Sep 21,00:00 GMT,39.4,-68.6,65,979
Sep 21,03:00 GMT,39.5,-68.2,60,982
Sep 21,06:00 GMT,39.8,-67.8,60,982
Sep 21,09:00 GMT,39.8,-67.8,60,982
Sep 21,12:00 GMT,39.6,-68.1,60,982
Sep 21,15:00 GMT,39.6,-68.2,60,984
Sep 21,18:00 GMT,39.5,-67.9,60,984
Sep 21,21:00 GMT,39.6,-67.9,50,987
Sep 22,00:00 GMT,39.6,-68.1,50,987
Sep 22,03:00 GMT,39.5,-68.4,50,987
Sep 22,06:00 GMT,39.6,-68.5,50,987
Sep 22,09:00 GMT,39.7,-68.7,50,990
Sep 22,12:00 GMT,39.7,-69.0,50,993
Sep 22,15:00 GMT,39.5,-69.4,45,993
Sep 22,18:00 GMT,39.3,-69.3,45,995
Sep 22,21:00 GMT,39.3,-69.1,45,996
