Film,Year,URL Encoded name,Image File Name,Agency Credit,Artist Credit,Director/Filmmaker Name,Director/Filmmaker IMDB Link,Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Scene Type,Media,IMDB LINK,Client or book location indicator,Notes,Book Image,Book Page,Display?,IMAGE OF LOCATION
*batteries not included,1987,%2Abatteries%20not%20included,batteriesnotincluded_pf,Courtesy of Photofest,Directed by,Matthew Robbins,http://imdb.com/name/nm0730422/,E. 5th St.<br>East Village<br>Manhattan,40.7224453,-73.97865057,Manhattan,East Village,N/A,Film,http://imdb.com/title/tt0092494/,N/A,,Y,190,,Y
12 Angry Men,1957,12%20Angry%20Men,12AngryMen_pf,Courtesy of Photofest,Directed by,Sidney Lumet,http://imdb.com/name/nm0001486/,New York County Courthouse<br>40 Foley Square<br>Lower Manhattan,40.7137,-74.0079,Manhattan,Lower Manhattan,N/A,Film,http://imdb.com/title/tt0050083/,"New York County
Courthouse on Foley Square.",,Y,40,,Y
13 Going on 30,2004,13%20Going%20on%2030,13Goingon30_ec,"Courtesy of Everett Collection, Inc.",Directed by,Gary Winick,http://imdb.com/name/nm0935095/,W. 47th St. and Seventh Ave.<br>Times Square<br>Manhattan,40.75922049,-73.98462117,Manhattan,Times Square,N/A,Film,http://www.imdb.com/title/tt0337563/,"47th St. and 7th Ave. Times Square
Manhattan",,Y,239,,Y
15 Minutes,2001,15%20Minutes,,,Directed by,John Herzfeld,http://imdb.com/name/nm0381273/,E. 60-66th St. and Madison Ave.<br>Upper East Side<br>Manhattan,40.7661,-73.9696,Manhattan,Upper East Side,Chases,Film,http://www.imdb.com/title/tt0179626/,60-66th and Madison,,Y,82,,N
25th Hour,2002,25th%20Hour,25thHour1_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/,World Trade Center<br>Lower Manhattan,40.71179263,-74.01232839,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0307901/,World Trade Center,,Y,93,,Y
25th Hour,2002,25th%20Hour,25thHour2_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/,Carl Schurz Park<br>Upper East Side<br>Manhattan,40.77506559,-73.94312739,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0307901/,Carl Schurz Park btwn 84th and 85th and promenade,,Y,209,,Y
A Perfect Murder,1998,A%20Perfect%20Murder,,,Directed by,Andrew Davis,http://imdb.com/name/nm0001112/,Long Island City,40.74607025,-73.95038009,Queens,Queens,N/A,Film,http://www.imdb.com/title/tt0120787/,Long Island City,,Y,141,N,N
A Thousand Clowns,1965,A%20Thousand%20Clowns,AThousandClowns_pf,Courtesy of Photofest,Directed by,Fred Coe,http://imdb.com/name/nm0168641/,Statue of Liberty<br>Liberty Island<br>New York Harbor,40.68958731,-74.04379606,Manhattan,New York Harbor,N/A,Film,http://www.imdb.com/title/tt0059798/,"Statue of Liberty, Liberty Island, New York Harbor",poor quality,Y,51,,Y
Across the Sea of Time,1997,Across%20the%20Sea%20of%20Time,AcrossTheSeaOfTime_pf,Courtesy of Photofest,Directed by,Stephen Low,http://imdb.com/name/nm0522844/,New York Harbor,40.69899091,-74.03849602,Manhattan,New York Harbor,N/A,Film,http://imdb.com/title/tt0112286/,,,Y,,,Y
After Hours,1985,After%20Hours,,,Directed by,Martin Scorsese,http://imdb.com/name/nm0000217/,Mercer and Grand<br>SoHo<br>Manhattan,40.7213,-74.0015,Manhattan,SoHo,N/A,Film,http://www.imdb.com/title/tt0088680/,SoHo,,Y,154,N,N
Alice,1990,Alice,,,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/,E. 95th St. off Madison Ave.<br>Upper East Side<br>Manhattan,40.7866,-73.9547,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0099012/,95th Street off Madison Avenue,,Y,224,,N
American Psycho,2000,American%20Psycho,AmericanPyscho_ec,"Courtesy of Everett Collection, Inc.",Directed by,Mary Harron,http://www.imdb.com/name/nm0366004/,Chinatown<br>Manhattan,40.71621654,-73.99808049,Manhattan,Chinatown,N/A,Film,http://www.imdb.com/title/tt0144084/,Chinatown,,Y,140,,Y
An Unmarried Woman,1978,An%20Unmarried%20Woman,,,Directed by,Paul Mazursky,http://imdb.com/name/nm0005196/,Mercer St. between Spring and Broome<br>SoHo<br>Manhattan,40.72255913,-74.00029063,Manhattan,SoHo,N/A,Film,http://www.imdb.com/title/tt0078444/,SoHo,,Y,152-153,N,N
Annie Hall,1977,Annie%20Hall,AnnieHall2_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/,Coney Island<br>Brooklyn,40.57360922,-73.97596836,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0075686/,Coney Island boardwalk,,Y,136,,N
Annie Hall,1977,Annie%20Hall,AnnieHall2_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/,Pier 11<br>Manhattan,40.70420461,-74.0060252,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0075686/,Pier 11,,Y,121,,N
Annie Hall,1977,Annie%20Hall,AnnieHall2_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/,Foot of 59th St. Bridge<br>Upper East Side<br>Manhattan,40.75780643,-73.95962834,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0075686/,foot of 58th street bridge,,N,,,N
