Facility Type,Borough,Facility Name,Cross Streets,Phone,Location 1,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
Child Health Center,Brooklyn,Ida G. Israel Community Health Center,W. 22nd St. & W. 23rd St.,718-946-3400,"2201 Neptune Avenue
Brooklyn, NY 11224
(40.578488319967, -73.989497148121)",11224,40.578468,-73.989614,13,47,348,3188417,3069900001,Seagate-Coney Island                                                       
Child Health Center,Queens,South Queens Community Health Center,,718-883-6699,"114 02 Guy R Brewer Blvd
Jamaica, NY 11434
(40.676945262114, -73.775306901692)",11434,40.688615,-73.785593,12,28,276,4264631,4122000052,Baisley Park                                                               
Child Health Center,Queens,Parsons Communicare Clinic,between Jamaica Ave. & 90th Ave.,718-334-6401,"90 37 Parsons Boulevard
Jamaica, NY 11432
(40.71311535449, -73.792820999789)",11432,40.703826,-73.800483,12,24,44601,4208836,4097560006,Jamaica                                                                    
Child Health Center,Queens,Queens Hospital Center,,718-883-3000,"82 68 164th Street
Jamaica, NY 11432
(40.71311535449, -73.792820999789)",11432,40.71725,-73.803433,8,24,1267,4442431,4068580001,Pomonok-Flushing Heights-Hillcrest                                         
Child Health Center,Queens,Junction Boulevard Child Health Clinic,between 34th Ave. & 35th Ave.,718-334-6150,"34 33 Junction Boulevard Jackson Heights
NY 11372
(40.751630739367, -73.883612545283)",11372,40.754179,-73.872231,3,21,375,4042887,4017290027,North Corona                                                               
Child Health Center,Brooklyn,Woodhull Medical and Mental Health Center,,718-963-8000,"760 Broadway
Brooklyn, NY 11206
(40.70052661478, -73.941643858765)",11206,40.700528,-73.941604,3,36,28501,3048341,3017230001,Bushwick South                                                             
Child Health Center,Brooklyn,Eleanor Roosevelt Houses Child Health Clinic,between Lewis Ave. & Stuyvesant Ave.,718-452-1146,"388 Pulaski Street
Brooklyn, NY 11206
(40.69392371549, -73.935456875218)",11206,40.694049,-73.934552,3,36,289,3324972,3015980001,Stuyvesant Heights                                                         
Acute Care Hospital,Bronx,Jacobi Medical Center,,718-918-5000,"1400 Pelham Parkway
Bronx, NY 10461
(40.857397104611, -73.846571204087)",10461,40.857427,-73.847079,11,13,296,2097550,2042050001,Pelham Parkway                                                             
Acute Care Hospital,Manhattan,Metropolitan Hospital Center,,212-423-6262,"1901 First Avenue
New York, NY 10029
(40.784557024105, -73.943795653643)",10029,40.784557,-73.94378,11,8,15602,1083929,1016690001,East Harlem South                                                          
Child Health Center,Brooklyn,Bushwick Communicare,between Linden St. & Grove St.,718-573-4860,"335 Central Avenue
Brooklyn, NY 11221
(40.694738427187, -73.919223916666)",11221,40.694674,-73.919153,4,37,417,3076115,3033240001,Bushwick South                                                             
Child Health Center,Brooklyn,Lafayette Houses Child Health Clinic,between Classon Ave. & Taffee Place,718-638-8258,"434 Dekalb Avenue
Brooklyn, NY 11205
(40.690366628996, -73.959782659483)",11205,40.690361,-73.960108,3,35,233,3321871,3019380001,Bedford                                                                    
Diagnostic & Treatment Center,Brooklyn,East New York Diagnostic & Treatment Center,,718-240-0400,"2094 Pitkin Avenue
Brooklyn, NY 11207
(40.671962495107, -73.89520529393)",11207,40.671977,-73.895248,5,42,1144,3083929,3037380015,East New York (Pennsylvania Ave)                                           
Child Health Center,Brooklyn,Williamsburg Child Health Clinic,between Power & Grand St.,718-387-2211,"279 Graham Ave
Brooklyn, NY 11206
(40.712103238036, -73.943994071543)",11211,40.712046,-73.943989,1,34,495,3069418,3027820024,East Williamsburg                                                          
Acute Care Hospital,Bronx,North Central Bronx Hospital,,718-519-5000,"3424 Kossuth Avenue
Bronx, NY 10467
(40.880463372456, -73.881592877502)",10467,40.880462,-73.88164,7,11,421,2017787,2033270200,Norwood                                                                    
Child Health Center,Manhattan,Harlem Hospital Center,,212-939-1000,"506 Lenox Avenue
New York, NY 10037
(40.814275217502, -73.940602831291)",10037,40.814358,-73.940659,10,9,212,1053899,1017330001,Central Harlem North-Polo Grounds                                          
Nursing Home,Brooklyn,Dr. Susan Smith McKinney Nursing and Rehabilitation Center,,718-245-7000,"594 Albany Avenue
Brooklyn, NY 11203
(40.66005451681, -73.939761495742)",11203,40.659968,-73.939733,9,40,808,3327674,3048120001,Prospect Lefferts Gardens-Wingate                                          
Child Health Center,Queens,Corona Child Health Clinic,between 104th St. & 106th St.,718-334-6100,"104 04 Corona Avenue
Corona, NY 11368
(40.749678220374, -73.853040688577)",11368,40.744001,-73.858404,4,21,439,4047629,4019350068,Corona                                                                     
Nursing Home,Staten Island,Sea View Hospital Rehabilitation Center & Home,,718-317-3000,"460 Brielle Avenue Staten Island
NY 10314
(40.597953866387, -74.131766325901)",10314,40.593798,-74.135437,2,50,181,5141697,5009550100,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
Child Health Center,Queens,Springfield Gardens Medical Center,,718-883-6800,"134 64 Springfield Blvd Springfield Gardens
NY 11413
(40.669711181226, -73.750873933285)",11413,40.678997,-73.754077,12,27,352,4279935,4129990220,St. Albans                                                                 
Diagnostic & Treatment Center,Bronx,Morrisania Diagnostic & Treatment Center,,718-960-2777,"1225 Gerard Avenue
Bronx, NY 10452
(40.835906387949, -73.920034037019)",10452,40.835957,-73.919986,4,16,197,2003015,2024890060,West Concourse                                                             
Child Health Center,Bronx,Jacobi Medical Center,,718-918-5000,"1400 Pelham Parkway
Bronx, NY 10461
(40.857397104611, -73.846571204087)",10461,40.857427,-73.847079,11,13,296,2097550,2042050001,Pelham Parkway                                                             
