Station Name,Borough,Line,Division,Structure,Daytime Routes,Latitude,Longitude
138 St-Grand Concourse,Bronx,Jerome Av,IRT,Subway,4 5,40.813224,-73.929849
149 St-Hostos,Bronx,Jerome Av,IRT,Subway,4,40.818375,-73.927351
149 St-Hostos,Bronx,Lenox - White Plains Rd,IRT,Subway,2 5,40.81841,-73.926718
161 St-Yankee Stadium,Bronx,Concourse,IND,Subway,B D,40.827905,-73.925651
161 St-Yankee Stadium,Bronx,Jerome Av,IRT,Elevated,4,40.827994,-73.925831
167 St,Bronx,Concourse,IND,Subway,B D,40.833771,-73.91844
167 St,Bronx,Jerome Av,IRT,Elevated,4,40.835537,-73.9214
170 St,Bronx,Concourse,IND,Subway,B D,40.839306,-73.9134
170 St,Bronx,Jerome Av,IRT,Elevated,4,40.840075,-73.917791
174 St,Bronx,Lenox - White Plains Rd,IRT,Elevated,2 5,40.837288,-73.887734
174-175 Sts,Bronx,Concourse,IND,Subway,B D,40.8459,-73.910136
176 St,Bronx,Jerome Av,IRT,Elevated,4,40.84848,-73.911794
182-183 Sts,Bronx,Concourse,IND,Subway,B D,40.856093,-73.900741
183 St,Bronx,Jerome Av,IRT,Elevated,4,40.858407,-73.903879
219 St,Bronx,Lenox - White Plains Rd,IRT,Elevated,2 5,40.883895,-73.862633
225 St,Bronx,Lenox - White Plains Rd,IRT,Elevated,2 5,40.888022,-73.860341
231 St,Bronx,Broadway - 7Av,IRT,Elevated,1,40.878856,-73.904834
233 St,Bronx,Lenox - White Plains Rd,IRT,Elevated,2 5,40.893193,-73.857473
238 St,Bronx,Broadway - 7Av,IRT,Elevated,1,40.884667,-73.90087
3 Av-138 St,Bronx,Pelham,IRT,Subway,6,40.810476,-73.926138
3 Av-149 St,Bronx,Lenox - White Plains Rd,IRT,Subway,2 5,40.816109,-73.917757
Allerton Av,Bronx,Lenox - White Plains Rd,IRT,Elevated,2 5,40.865462,-73.867352
Baychester Av,Bronx,Dyre Av,IRT,Open Cut,5,40.878663,-73.838591
Bedford Park Blvd,Bronx,Concourse,IND,Subway,B D,40.873244,-73.887138
Bedford Park Blvd-Lehman College,Bronx,Jerome Av,IRT,Elevated,4,40.873412,-73.890064
Bronx Park East,Bronx,Lenox - White Plains Rd,IRT,Elevated,2 5,40.848828,-73.868457
Brook Av,Bronx,Pelham,IRT,Subway,6,40.807566,-73.91924
Buhre Av,Bronx,Pelham,IRT,Elevated,6,40.84681,-73.832569
Burke Av,Bronx,Lenox - White Plains Rd,IRT,Elevated,2 5,40.871356,-73.867164
Burnside Av,Bronx,Jerome Av,IRT,Elevated,4,40.853453,-73.907684
Castle Hill Av,Bronx,Pelham,IRT,Elevated,6,40.834255,-73.851222
Cypress Av,Bronx,Pelham,IRT,Subway,6,40.805368,-73.914042
E 143 St-St Mary's St,Bronx,Pelham,IRT,Subway,6,40.808719,-73.907657
E 149 St,Bronx,Pelham,IRT,Subway,6,40.812118,-73.904098
E 180 St,Bronx,Lenox - White Plains Rd,IRT,Elevated,2 5,40.841894,-73.873488
Eastchester-Dyre Av,Bronx,Dyre Av,IRT,At Grade,5,40.8883,-73.830834
Elder Av,Bronx,Pelham,IRT,Elevated,6,40.828584,-73.879159
Fordham Rd,Bronx,Concourse,IND,Subway,B D,40.861296,-73.897749
