Name,Borough,Cuisine,Grade,Score,Inspection_Date
1.50 HOT PIZZA,Bronx,Pizza,A,13,2025-09-17
1.50 HOT PIZZA,Bronx,Pizza,B,20,2023-01-11
161 BAR & GRILL,Bronx,Latin American,B,26,2025-10-22
167 DOMINICAN DELI GROCERY INC,Bronx,Spanish,C,44,2026-01-20
167 EMPANADAS RD,Bronx,Sandwiches/Salads/Mixed Buffet,B,26,2024-04-23
2123 FRESH TORTILLAS,Bronx,Japanese,B,20,2024-02-23
241ST CAFE RESTAURANT,Bronx,American,A,11,2023-11-03
2M DELI,Bronx,Latin American,A,10,2026-06-08
3 BROS PIZZA & TACOS CORP.,Bronx,Pizza,A,13,2025-07-21
3-J RESTAURANT AND PIZZA,Bronx,Latin American,A,13,2024-11-20
3A'S LEGACY SALAD & GRILL,Bronx,Soups/Salads/Sandwiches,C,42,2023-02-24
5 STAR PIZZA,Bronx,Pizza,B,23,2023-10-10
5 STAR PIZZA,Bronx,Pizza,B,21,2026-03-23
5 STAR PIZZA,Bronx,Pizza,C,33,2025-06-17
619 BAR & RESTAURANT EL SALVADORENO,Bronx,Latin American,A,13,2026-08-26
7 SPICES,Bronx,Caribbean,A,11,2026-09-04
787 COFFEE,Bronx,Coffee/Tea,C,29,2025-08-06
787 COFFEE,Bronx,Coffee/Tea,C,30,2023-10-04
789 COCINA LATINA RESTAURANT INC.,Bronx,Spanish,A,12,2023-10-18
AA CHINESE RESTAURANT,Bronx,Chinese,B,20,2024-09-23
ADAYA AFRICAN AMERICAN RESTAURANT,Bronx,African,A,13,2025-04-07
ADAYA AFRICAN AMERICAN RESTAURANT,Bronx,African,C,39,2024-03-04
ADDEOS OF THE BRONX,Bronx,Pizza,A,10,2024-06-12
ADELA'S RESTAURANT,Bronx,Mexican,A,12,2026-07-17
ADOM CUISINE,Bronx,African,A,12,2026-04-06
AFRICAN HOME RESTAURANT,Bronx,African,A,12,2025-05-01
AGRA GRILL AND RESTAURANT,Bronx,Indian,A,12,2024-12-05
AJO & OREGANO RESTAURANT,Bronx,Latin American,B,24,2025-07-17
AJO & OREGANO RESTAURANT,Bronx,Latin American,B,27,2024-03-11
AL AQSA PARTY HALL,Bronx,Asian/Asian Fusion,A,12,2026-04-14
AL-AQSA CHINESE,Bronx,Chinese,A,9,2023-07-24
AL-AQSA RESTAURANT,Bronx,Bangladeshi,A,9,2025-05-12
AL-AQSA RESTAURANT,Bronx,Bangladeshi,C,35,2023-08-30
ALBERT'S COFFEE SHOP,Bronx,American,A,10,2024-11-18
ALCHOLOS BAKERY,Bronx,Bakery Products/Desserts,B,21,2024-05-08
ALITALIA PIZZA RESTAURANT,Bronx,Pizza,A,13,2025-12-15
ALLEN RESTAURANT,Bronx,Latin American,B,25,2023-09-01
ALLEN RESTAURANT,Bronx,Latin American,C,31,2026-06-24
ALLERTON RESTAURANT,Bronx,American,A,12,2024-04-10
ALLERTON RESTAURANT,Bronx,American,C,67,2025-07-17
ALWAHA RESTAURANT,Bronx,Middle Eastern,A,12,2026-02-11
AMAN RESTAURANT,Bronx,Indian,C,37,2023-04-17
AMAN RESTAURANT,Bronx,Indian,C,37,2025-01-06
AMINAS CAFE,Bronx,American,A,11,2025-02-14
AN BEAL BOCHT CAFE,Bronx,American,B,23,2024-05-21
ANA'S BAKERY & CAFE,Bronx,Bakery Products/Desserts,B,17,2023-02-22
ANDY'S TERIYAKI & TACO,Bronx,Tex-Mex,A,13,2026-07-28
ANGIOLINA'S RESTAURANT,Bronx,Spanish,C,46,2024-02-12
ANTOJITOS LA GARNACHA,Bronx,Spanish,A,12,2026-01-07
ANTOJITOS LA GARNACHA,Bronx,Spanish,B,20,2023-01-30
ANTOJITOS RESTAURANT & JUICE BAR,Bronx,Latin American,B,18,2025-04-15
ANTOJITOS RESTAURANT & JUICE BAR,Bronx,Latin American,C,28,2024-03-13
ANTONIO'S TRATTORIA,Bronx,Italian,B,16,2024-08-19
ANTONIO'S TRATTORIA,Bronx,Italian,B,16,2026-05-29
AOYU SUSHI,Bronx,Japanese,A,12,2025-05-30
ARNAUD STEAK & SEAFOOD,Bronx,Latin American,B,21,2026-01-17
AROMA CAFE,Bronx,Coffee/Tea,A,12,2025-02-28
AROMA RESTAURAT & BAR,Bronx,Spanish,A,12,2024-05-02
ARTH ALGANATIN,Bronx,Middle Eastern,A,13,2024-04-25
ARTH ALGANATIN,Bronx,Middle Eastern,B,21,2023-04-06
ARTHUR AVENUE CATERS,Bronx,Italian,A,10,2024-03-18
ARTURO'S PIZZA,Bronx,Pizza,B,24,2026-01-23
ARTUSO PASTRY SHOP,Bronx,Bakery Products/Desserts,A,12,2026-04-03
ARTUSO PASTRY SHOP,Bronx,Bakery Products/Desserts,A,12,2025-02-12
ASEER TIME,Bronx,"Juice, Smoothies, Fruit Salads",A,11,2026-08-25
ASIA LATINA/MAMA SUSHI/PICHIRRI,Bronx,Asian/Asian Fusion,B,25,2026-04-03
ASTOR BAR & GRILL,Bronx,Basque,C,31,2025-10-16
AT LINS GARDEN RESTAURANT,Bronx,Chinese,A,9,2026-08-10
ATIK RESTAURANT,Bronx,Mediterranean,A,6,2026-08-26
AUGIES DELI & PIZZERIA,Bronx,Sandwiches,B,18,2025-07-14
AZUL TEQUILA MEXICAN RESTAURANT,Bronx,Mexican,A,10,2026-07-30
Auntie Anne’s/ Cinnabon/ Carvel,Bronx,Frozen Desserts,A,11,2025-11-25
B.F. NATIONAL BAKERY,Bronx,Bakery Products/Desserts,A,9,2025-10-16
B.F. NATIONAL BAKERY,Bronx,Bakery Products/Desserts,C,40,2025-07-15
BAGEL CORNER,Bronx,Bagels/Pretzels,A,13,2025-11-05
BAGELS ON BARTOW,Bronx,Bagels/Pretzels,A,11,2024-11-25
BAGELS ON BARTOW,Bronx,Bagels/Pretzels,B,19,2026-01-27
BAGELS ON BARTOW,Bronx,Bagels/Pretzels,C,90,2023-09-28
BAILEY SEAFOOD MARKET & RESTAURANT,Bronx,Spanish,B,27,2024-09-04
BAKERY ROSARINA CORP,Bronx,Bakery Products/Desserts,A,10,2025-01-07
BALDOR BISTRO,Bronx,American,A,10,2023-08-03
BALLY'S GOLF LINKS,Bronx,American,A,9,2024-08-16
BALLY'S GOLF LINKS,Bronx,American,A,13,2026-05-20
BAR & RESTAURANT EL SALVADORENO,Bronx,Latin American,A,8,2023-05-17
BARINO'S MARKET CATERING,Bronx,Italian,A,10,2026-02-10
BARRIO BX,Bronx,Latin American,B,22,2025-09-12
BASES LOADED SPORTS BAR,Bronx,American,B,17,2026-07-01
BB JUICE BAR,Bronx,"Juice, Smoothies, Fruit Salads",B,21,2025-10-08
BB JUICE BAR,Bronx,"Juice, Smoothies, Fruit Salads",B,27,2025-01-13
BB JUICE BAR,Bronx,"Juice, Smoothies, Fruit Salads",C,54,2023-07-03
BB PIZZA & DINE,Bronx,Pizza,A,12,2024-01-11
BEATSTRO,Bronx,American,A,9,2024-04-25
BEDFORD CAFE & RESTAURANT,Bronx,American,B,22,2026-05-13
BEDFORD CAFE & RESTAURANT,Bronx,American,B,27,2024-08-16
BEDFORD PIZZA CAFE,Bronx,Pizza,A,13,2025-02-24
BEDFORD PIZZA CAFE,Bronx,Pizza,B,19,2024-08-19
BEHAN'S PUBLIC HOUSE,Bronx,Irish,A,11,2022-11-28
BEHAN'S PUBLIC HOUSE,Bronx,Irish,A,13,2024-04-12
BELLA CHICKEN AND BURGER,Bronx,Chicken,B,23,2025-02-03
BELLA ITALY PIZZA,Bronx,Pizza,B,21,2025-01-30
BELLA NAPOLI,Bronx,Pizza,C,47,2025-02-05
BELLA PIZZA OF BRONX,Bronx,Pizza,B,16,2025-09-05
BELLA PIZZA OF BRONX,Bronx,Pizza,C,33,2024-04-23
BEST CHINESE RESTAURANT,Bronx,Chinese,B,20,2023-12-19
BEST ITALIAN PIZZA,Bronx,Pizza,B,21,2025-03-17
BETO'S RESTAURANT,Bronx,Mexican,A,13,2024-07-03
BETTER GOURMET HEALTH KITCHEN,Bronx,American,A,10,2024-08-22
BETTER GOURMET HEALTH KITCHEN,Bronx,American,C,65,2023-04-18
BETTER HEALTH CLUB,Bronx,"Juice, Smoothies, Fruit Salads",A,10,2023-06-20
BETTER HEALTH CLUB,Bronx,"Juice, Smoothies, Fruit Salads",A,10,2024-10-31
BEVERLY HILL MANOR (Entrance on Clifford Place),Bronx,Spanish,C,35,2024-12-23
BIG CHEESE PIZZA,Bronx,Pizza,A,9,2024-10-31
BILLY BEEZ,Bronx,American,C,33,2024-04-13
BINGO,Bronx,American,A,5,2026-07-07
BLANQUITA RESTAURANT,Bronx,Latin American,A,13,2026-01-21
BLANQUITA RESTAURANT,Bronx,Latin American,B,23,2024-11-20
BOBA TEA TIME,Bronx,Coffee/Tea,A,8,2024-12-04
BOBO'S CRAB SHACK,Bronx,Seafood,A,10,2026-07-20
BOBO'S CRAB SHACK,Bronx,Seafood,B,22,2024-04-23
BOBO'S CRAB SHACK,Bronx,Seafood,B,20,2025-08-27
BOCA RESTAURANT & STEAK HOUSE,Bronx,American,A,12,2023-12-21
BOSTON ROAD CHINA,Bronx,Chinese,A,9,2024-07-02
BOSTON ROAD CHINA,Bronx,Chinese,B,21,2026-03-04
BOWLER LAND,Bronx,American,A,10,2025-07-17
BOWLER LAND,Bronx,American,A,8,2023-10-12
BRASAS RESTAURANT & BAR,Bronx,Latin American,B,19,2025-07-17
BRAVO AFRICAN RESTAURANT,Bronx,African,C,51,2024-10-21
BRAVO AFRICAN RESTAURANT,Bronx,African,C,33,2026-02-04
BRAVO AFRICAN RESTAURANT 2,Bronx,African,A,13,2023-11-20
BRISAS DEL CARIBE,Bronx,Spanish,A,13,2025-05-14
BRISAS EXPRESS,Bronx,Latin American,A,13,2025-06-30
BRISAS EXPRESS,Bronx,Latin American,B,27,2025-01-21
BROADWAY JOE'S PIZZA,Bronx,Pizza,A,12,2024-03-04
BRONX BURGER CO.,Bronx,American,A,12,2025-06-02
BRONX BURGER COMPANY,Bronx,Hamburgers,A,12,2026-07-28
BRONX NUTRITION SPOT (HERBALIFE),Bronx,"Juice, Smoothies, Fruit Salads",A,12,2023-09-19
BUBBLE TEA 101,Bronx,Coffee/Tea,A,7,2026-01-14
BUFFALO WILD WINGS GO,Bronx,Chicken,A,5,2026-01-21
BURGER KING,Bronx,Hamburgers,A,11,2024-01-30
BURGER KING,Bronx,Hamburgers,A,5,2024-03-29
BURGER KING,Bronx,Hamburgers,A,5,2024-10-17
BURGER KING,Bronx,Hamburgers,A,2,2026-04-15
BURGER KING,Bronx,Hamburgers,A,9,2026-03-27
BURGER KING,Bronx,Hamburgers,A,9,2023-06-30
