Address,BBL,BIN,BoroCD,Borough,CT2010,CouncilDistrict,Items_Accepted,Latitude,Longitude,NTAName,Nonprofit_Organization,Number,Operations_Type,Public_Email,Public_Phone,Street,Unit,Vendor_Name,Website,point,zipcode,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
135 N 7 St,3023197440.0,3397614,301,Brooklyn,553,33,Contact store for details,40.718692779541016,-73.95797729492188,North Side-South Side,false,135,Organizations/Thrift Stores,N/A,718-387-3010,N 7 St,,Crossroads Trading Co.,https://crossroadstrading.com/location/new-york-n-7th-st/,POINT (-73.957979 40.718691),11249,17613,36,2,38,57
414 W 14 St,1006460032.0,1088856,102,Manhattan,79,3,Contact store for details,40.74118423461914,-74.00655364990234,West Village,false,414,Retail Store Takeback Programs,N/A,212-929-6512,W 14 St,,Patagonia,https://www.patagonia.com/recycling.html,POINT (-74.006555 40.741184),10014,12077,57,4,10,3
238 Knickerbocker Ave,3031859968.0,3072524,304,Brooklyn,427,34,"Clothing, Shoes",40.70268249511719,-73.92567443847656,Bushwick North,false,238,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Knickerbocker Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.925672 40.702681),11237,13828,42,2,30,53
187-20 Hillside Ave,4099350016.0,4212877,412,Queens,480,27,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.71473693847656,-73.77445220947266,Jamaica,true,187-20,Publicly Accessible Donation Bins,N/A,516-484-3500,Hillside Ave,,Friendship Circle,https://www.chabadroslyn.com/templates/section_cdo/aid/.../Friendship-Circle.htm,POINT (-73.774451 40.714738),11432,24332,41,3,6,61
321 W 110 St,1018460032.0,1000000,110,Manhattan,19702,9,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.80121612548828,-73.95926666259766,Central Harlem South,true,321,Textile Recycling at Farmers' Markets,info@greentreetextiles.org,908-245-9300,W 110 St,,Green Tree Textiles at Morningside Park's Down to Earth Farmer's Market,http://www.greentreetextiles.org/farmersmarkets/,POINT (-73.959264 40.801218),10026,12423,18,4,36,18
453 Broome St,1004740032.0,1007037,102,Manhattan,47,1,"Clothing & shoes. Bring in your unwanted items & receive an exclusive bag made from re-purposed fabrics while supplies last. All brands in clean, dry condition accepted. Visit or call store for more details. I:CO partner - https://www.ico-spirit.com/en/",40.7221794128418,-74.00089263916016,SoHo-TriBeCa-Civic Center-Little Italy,false,453,Retail Store Takeback Programs,service@suitsupply.com,(917) 521-5759,Broome St,,Suitsupply,https://us.suitsupply.com/en_US/suistupply-recycles.html,POINT (-74.00089 40.72218),10013,12076,57,4,32,1
7708 New Utrecht Ave,3062470144.0,3161389,311,Brooklyn,182,43,"Clothing, Shoes, Coats",40.61397933959961,-74.00065612792969,Bensonhurst West,true,7708,Nonprofit Organizations/Thrift Stores,info@rcsprograms.org,718-373-4565,New Utrecht Ave,,"Reaching Out Community Services, Inc",https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=2121&BId=2077,POINT (-74.00065600000002 40.613981),11214,17616,1,2,44,37
1685 Utica Ave,3077540096.0,3214508,318,Brooklyn,722,46,"Clothing, Shoes",40.631134033203125,-73.92781829833984,Flatlands,false,1685,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Utica Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.92782 40.631134),11234,13825,5,2,8,38
666 5 Avenue,1012687488.0,1034520,105,Manhattan,104,4,UNIQLO Clothing,40.760318756103516,-73.9761734008789,Midtown-Midtown South,false,666,Retail Store Takeback Programs,WeCare@MAIL.Uniqlo-usa.com,1-877-486-4756,5 Avenue,,UNIQLO,https://www.uniqlo.com/us/en/home/,POINT (-73.97617 40.76032),10103,10093,11,4,51,10
1521 Unionport Rd,2039387520.0,2096655,209,Bronx,212,18,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.83539581298828,-73.85823059082031,Parkchester,false,1521,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Unionport Rd,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.858233 40.835395),10462,11271,58,5,31,26
762 Sheffield Ave,3043209984.0,3097263,305,Brooklyn,1104,42,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.658382415771484,-73.89202880859375,East New York,false,762,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Sheffield Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.892027 40.658381),11207,17214,45,2,25,47
